Title, Platform, Date 
Samurai Tiger, iOS, 2012-06-2 
Checkpoint Madness HD, iOS, 2012-06-2 
Bank Job, iOS, 2012-06-1 
CarDust, iOS, 2012-06-1 
GoNinja, iOS, 2012-06-1 
Bitstream, iOS, 2012-06-1 
Avenger, iOS, 2012-06-1 
TwisTime, iOS, 2012-06-1 
Rock(s) Rider, iOS, 2012-05-31 
BraveSmart, iOS, 2012-05-31 
Inferno+, iOS, 2012-05-31 
Duckers, iOS, 2012-05-31 
Little Things Forever, iOS, 2012-05-31 
Soctics: Pocket Soccer, iOS, 2012-05-31 
Heroes Call, iOS, 2012-05-31 
Fortune Street Smart, iOS, 2012-05-31 
Real Escape, iOS, 2012-05-31 
Ring Fling, iOS, 2012-05-31 
Affliction: Zombie Rising, iOS, 2012-05-31 
CrossWorlds: the Flying City, iOS, 2012-05-31 
Soctics League HD: Online Multiplayer Pocket Soccer, iOS, 2012-05-31 
TinyLegends - Crazy Knight, iOS, 2012-05-31 
Zombie Carnaval, iOS, 2012-05-31 
Axon Runners, iOS, 2012-05-31 
Brainergy, iOS, 2012-05-31 
Pettson's Inventions, iOS, 2012-05-31 
Tap Tip Block'em, iOS, 2012-05-31 
Love Me Not, iOS, 2012-05-31 
Airline Tycoon Deluxe, iOS, 2012-05-31 
Nick Jr Draw & Play HD, iOS, 2012-05-31 
My laboratory, iOS, 2012-05-31 
Jump Dewds!, iOS, 2012-05-31 
Pinball Maniacs: Cartoon Pinball Adventure, iOS, 2012-05-31 
Little Generals, iOS, 2012-05-30 
Monstaaa!, iOS, 2012-05-29 
Razor: Salvation, iOS, 2012-05-29 
Piranha 3DD, iOS, 2012-05-29 
Mega Run - Redford's Adventure, iOS, 2012-05-29 
Gnomes, iOS, 2012-05-29 
Rainbow Friends, iOS, 2012-05-29 
Zombie Burst, iOS, 2012-05-28 
Plague Inc., iOS, 2012-05-26 
Swipe Bomb HD, iOS, 2012-05-26 
Besieged 2, iOS, 2012-05-26 
Puzzle-Rocket, iOS, 2012-05-26 
Save The Birds HD, iOS, 2012-05-25 
Expand it!, iOS, 2012-05-25 
Zynga Slots, iOS, 2012-05-25 
Shoot the Zombirds, iOS, 2012-05-24 
Bee Leader, iOS, 2012-05-24 
Dream Inn: Driftwood, iOS, 2012-05-24 
Extreme Skater, iOS, 2012-05-24 
Golf Squared, iOS, 2012-05-24 
Slingshot Racing, iOS, 2012-05-24 
Subway Surfers, iOS, 2012-05-24 
Empire of the Eclipse, iOS, 2012-05-24 
The Heroes of Three Kingdoms, iOS, 2012-05-24 
Defender Chronicles II: Heroes of Athelia, iOS, 2012-05-24 
Air Mail, iOS, 2012-05-24 
Fashion Icon, iOS, 2012-05-24 
Tiny Plane, iOS, 2012-05-24 
Autumn Dynasty, iOS, 2012-05-24 
